,ID_VICTIMA,ID_HECHO,ROL,SEXO,EDAD,RANGO_ETAREO,FECHA,HORA,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO
0,2016-0001-1,2016-0001,CONDUCTOR,MASCULINO,19,18_33,2016-01-01,4,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO
1,2016-0002-2,2016-0002,CONDUCTOR,MASCULINO,70,>65,2016-01-02,1,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,-58.50877521,-34.66977709,AUTO,PASAJEROS
2,2016-0003-3,2016-0003,CONDUCTOR,MASCULINO,30,18_33,2016-01-03,7,AVENIDA,ENTRE RIOS AV.,,1,-58.39040293,-34.63189362,MOTO,AUTO
3,2016-0004-4,2016-0004,CONDUCTOR,MASCULINO,18,18_33,2016-01-10,0,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD
4,2016-0005-5,2016-0005,CONDUCTOR,MASCULINO,29,18_33,2016-01-21,5,AVENIDA,SAN JUAN AV.,"SAENZ PEÑA, LUIS, PRES.",1,-58.38718297,-34.62246630,MOTO,PASAJEROS
5,2016-0008-6,2016-0008,CONDUCTOR,MASCULINO,30,18_33,2016-01-24,18,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
6,2016-0009-7,2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29,18_33,2016-01-24,19,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,MOTO,AUTO
7,2016-0010-8,2016-0010,CONDUCTOR,MASCULINO,18,18_33,2016-01-29,15,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,-58.50877521,-34.66977709,MOTO,AUTO
8,2016-0012-9,2016-0012,CONDUCTOR,MASCULINO,22,18_33,2016-02-08,1,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS
9,2016-0013-10,2016-0013,PEATON,MASCULINO,16,<18,2016-02-10,11,AVENIDA,ENTRE RIOS AV.,,1,-58.39114932,-34.62477387,PEATON,AUTO
10,2016-0015-11,2016-0015,PEATON,FEMENINO,16,<18,2016-02-14,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,15,-58.43760020,-34.59912758,PEATON,AUTO
11,2016-0016-12,2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,19,18_33,2016-02-14,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO
12,2016-0017-13,2016-0017,PEATON,MASCULINO,59,50_65,2016-02-15,16,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO
13,2016-0019-14,2016-0019,PEATON,FEMENINO,65,>65,2016-02-17,9,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS
14,2016-0020-15,2016-0020,PEATON,MASCULINO,59,50_65,2016-02-17,16,CALLE,SUIPACHA,,1,-58.37952223,-34.60653282,PEATON,AUTO
15,2016-0021-16,2016-0021,CONDUCTOR,MASCULINO,34,34_49,2016-02-17,23,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO
16,2016-0022-17,2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,41,34_49,2016-02-21,6,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO
17,2016-0025-18,2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,34,34_49,2016-02-28,4,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,8,-58.46244952,-34.70524971,AUTO,AUTO
